,genre,avg_streams,country
204,adult standards,767828.9833333334,de
205,blues rock,1400523.0,de
206,brazilian funk,2880574.0,de
207,chanson,2835158.0,de
208,classic rock,3842972.5714285714,de
209,classical,802918.0,de
210,country,7819097.797619048,de
211,country rap,1074278.4,de
212,dance,8704831.23482363,de
213,dance pop,4731869.370197663,de
214,dancehall,723660.1875,de
215,deep pop r&b,1095342.0,de
216,disco,358416.0,de
217,disco house,2938893.666666666,de
218,drill,351525.0,de
219,dubstep,6433436.331578948,de
220,easy listening,709211.375,de
221,electro,7228787.365962076,de
222,electro house,8107285.927586207,de
223,electropop,4988464.178739316,de
224,emo,10540470.1875,de
225,escape room,2430010.0,de
226,europop,4350117.123809524,de
227,experimental,7099572.0,de
228,folk,3125044.083333333,de
229,folk rock,2262108.0,de
230,francoton,2851716.2,de
231,funk,2466564.066666667,de
232,grime,1307767.4,de
233,hip hop,4841066.699149511,de
234,house,9434681.690926826,de
235,indie,3389326.375,de
236,indie pop,3977337.203030303,de
237,indie pop rap,2111389.125,de
238,indie r&b,1095342.0,de
239,indie rock,698976.25,de
240,indietronica,5572112.833333334,de
241,jazz,539104.4,de
242,k-hop,506472.0,de
243,k-pop,1526552.0,de
244,latin,10920299.256245144,de
245,lounge,676105.0555555556,de
246,mellow gold,7099572.0,de
247,metal,2713674.0,de
248,moombahton,5127962.577777778,de
249,ninja,5857849.885714286,de
250,other,2466790.921625344,de
251,pagode baiano,2880574.0,de
252,pop,5494353.712810176,de
253,pop house,10837763.0,de
254,pop punk,11621761.0,de
255,pop rap,4130908.886832427,de
256,pop rock,3980373.3333333335,de
257,psychedelic rock,7099572.0,de
258,r&b,2395540.596060606,de
259,rai,9887781.5,de
260,rap,4252498.413582251,de
261,rap rock,655377.0,de
262,reggae,12936472.833333332,de
263,reggaeton,12173636.583333332,de
264,rock,2829371.3125,de
265,soul,2977124.833333333,de
266,trance,881319.75,de
267,trap,4339811.899425287,de
268,tropical,20575777.0,de
269,tropical house,6092732.644927536,de
270,afropop,16299078.0,fr
271,azonto,7062660.666666668,fr
272,chanson,3618631.2,fr
273,classic rock,360100.0,fr
274,country,14787306.75,fr
275,country rap,1381099.4,fr
276,dance,5320557.139008093,fr
277,dance pop,4031667.1777505246,fr
278,dancehall,4900146.166666666,fr
279,deep pop r&b,1225815.0,fr
280,dembow,8990309.0,fr
281,disco house,1433818.7708333333,fr
282,dubstep,4466633.037878788,fr
283,electro,5656887.060219472,fr
284,electro house,5892264.831481482,fr
285,electropop,4804094.108024691,fr
286,emo,6532028.458333333,fr
287,escape room,701750.0,fr
288,europop,9511501.166666666,fr
289,experimental,360100.0,fr
290,folk rock,360100.0,fr
291,francoton,1957711.66615426,fr
292,funk,1960164.0,fr
293,hip hop,5831571.334205282,fr
294,house,7171207.742017704,fr
295,indie pop,2647433.5119047617,fr
296,indie r&b,1129395.5,fr
297,indie soul,1418654.0,fr
298,indietronica,3915881.0,fr
299,j-pop,1957586.0,fr
300,j-rap,1957586.0,fr
301,jazz,753354.2142857143,fr
302,k-hop,341189.0,fr
303,k-pop,741901.3333333334,fr
304,latin,9069184.263034187,fr
305,mellow gold,360100.0,fr
306,metal,4407864.5,fr
307,moombahton,7649347.18888889,fr
308,new wave,11102520.0,fr
309,ninja,7314106.736111111,fr
310,other,2815846.933760684,fr
311,pop,5117161.363355472,fr
312,pop house,4156029.0,fr
313,pop punk,7096888.5,fr
314,pop rap,3913725.5979047255,fr
315,pop rock,2365604.0,fr
316,psychedelic rock,360100.0,fr
317,r&b,1081622.3775510204,fr
318,rai,1311716.5,fr
319,rap,4335984.914598773,fr
320,reggae,18946581.666666668,fr
321,reggaeton,6684682.865476191,fr
322,rock,2052057.3333333333,fr
323,soul,4848195.75,fr
324,trance,3586931.0,fr
325,trap,4125271.7777777775,fr
326,tropical,8282134.833333333,fr
327,tropical house,4800826.566666667,fr
328,variete francaise,953262.0,fr
329,adult standards,2246533.6944444445,gb
330,afrobeat,971224.0,gb
331,afropop,1751228.4525641026,gb
332,azonto,2730020.7666666666,gb
333,blues,971224.0,gb
334,brazilian funk,1057812.0,gb
335,celtic,10688162.0,gb
336,chillwave,380402.3333333333,gb
337,classic rock,7379979.333333333,gb
338,classical,1935668.0,gb
339,country,4503600.4626543205,gb
340,country rap,1386705.7142857143,gb
341,county rock,2269404.0,gb
342,dance,8654377.058315018,gb
343,dance pop,5876747.174559287,gb
344,dancehall,5748622.43081895,gb
345,deep pop r&b,6150952.0,gb
346,disco house,5642494.143809523,gb
347,drill,3849956.7274294337,gb
