features,Viral50USA,Top50USA,Viral50Global,Top50Global,RapCaviar,VivaLatino,HotCountry,NewMusicFriday,Are&Be,mint,Today'sTopHits,RockThis
energy,0.60178,0.56222,0.60364,0.6128399999999999,0.61212,0.68098,0.69372,0.61583,0.5527843137254902,0.8270107526881721,0.6407599999999999,0.8098399999999999
liveness,0.193614,0.229774,0.209206,0.200516,0.195638,0.162658,0.158602,0.19974599999999998,0.14659803921568626,0.19351505376344086,0.17892399999999997,0.195144
speechiness,0.093424,0.10441800000000001,0.10678000000000001,0.095344,0.22220199999999998,0.129004,0.038682,0.11210800000000001,0.11089411764705882,0.06946989247311829,0.084994,0.066696
acousticness,0.28083559999999996,0.31732614000000003,0.3358848,0.26272300000000004,0.10316746,0.23891020000000002,0.188874804,0.240255975,0.37287156862745097,0.05497275268817205,0.2424112,0.020086813600000003
instrumentalness,0.0766240334,0.024231703599999998,0.0732039526,0.018419014,0.016950324399999998,0.012229080799999998,0.0001452956,0.0570324308,0.00911446294117647,0.2655490847311828,0.0073169394,0.043395392600000006
danceability,0.619,0.59498,0.6224000000000001,0.63522,0.75976,0.7528199999999999,0.5660000000000001,0.62849,0.6344901960784314,0.6729677419354838,0.6593600000000001,0.511
valence,0.41111600000000004,0.430096,0.46858,0.46834000000000003,0.42868,0.55704,0.5243800000000001,0.454384,0.4596470588235294,0.43123870967741934,0.491182,0.483154
mode,0.44,0.66,0.5,0.54,0.48,0.56,0.94,0.6,0.35294117647058826,0.4838709677419355,0.68,0.52
